# Traditional → Simplified Chinese codepoint mapping
# Generated by build_trad_simp_mapping.py from Unihan_Variants.txt
# Format: TRAD_HEX<TAB>SIMP_HEX
0x4564	0x2B7D5
0x4573	0x26C34
0x4579	0x30C36
0x457C	0x2C774
0x4580	0x30C96
0x4585	0x2B7D1
0x459A	0x30C9F
0x45C3	0x30CB3
0x45C5	0x2B2AA
0x45E5	0x30CAF
0x45FB	0x2E502
0x45FD	0x30CDA
0x45FF	0x2725E
0x4654	0x2B2F2
0x4661	0x464C
0x4671	0x2772D
0x467C	0x30D16
0x4686	0x2C891
0x4689	0x2C890
0x4695	0x30D17
0x469E	0x30D24
0x46A9	0x2B32F
0x46B3	0x2C8DB
0x46B5	0x2C8DF
0x46BD	0x2C8DC
0x46C0	0x30D50
0x46C4	0x2B360
0x46CC	0x30D5C
0x46CD	0x2C8E7
0x46D8	0x2C8EF
0x46DB	0x2C8EC
0x46DE	0x2C8F8
0x46E0	0x30D6B
0x46E4	0x2C8F9
0x46EC	0x2C901
0x46ED	0x30D70
0x46F3	0x2B36B
0x46F4	0x2EDC8
0x46FD	0x2C90C
0x46FF	0x2C911
0x4700	0x4727
0x4704	0x30D88
0x4709	0x2C918
0x470B	0x2C909
0x470D	0x2C91F
0x470E	0x2C8FF
0x470F	0x30D87
0x4712	0x2C921
0x4716	0x2B7E2
0x471A	0x2C92A
0x471D	0x2C92C
0x474F	0x30DAC
0x4755	0x2C944
0x476D	0x2B3A7
0x476F	0x2C975
0x477B	0x27E55
0x477C	0x478D
0x4780	0x2C97D
0x4781	0x2C97A
0x4782	0x2C97B
0x4788	0x27E51
0x4789	0x30DE9
0x478B	0x2B3AA
0x4793	0x2B3AD
0x47C3	0x2B3BA
0x47C6	0x2B3B3
0x47CF	0x30DF4
0x47D0	0x2B3B1
0x47FA	0x2C9A5
0x4806	0x2B3C3
0x481F	0x30E08
0x4820	0x30E1B
0x4829	0x30E0A
0x482E	0x2C9C3
0x4831	0x2815B
0x4841	0x2C9E2
0x4844	0x2EDD6
0x4845	0x30E73
0x4847	0x30E77
0x484A	0x30E7A
0x4850	0x2B7E4
0x4857	0x2CA06
0x4858	0x2CA09
0x485D	0x30E91
0x485F	0x2CA0C
0x4866	0x2CA11
0x4869	0x2B7E5
0x4870	0x30E98
0x4874	0x30E9D
0x4875	0x2B7E6
0x4876	0x2CA14
0x4877	0x30EA1
0x487B	0x30EA4
0x487E	0x30EA0
0x4888	0x30EAD
0x48A8	0x28479
0x490C	0x2E81E
0x490D	0x30F11
0x4920	0x30F60
0x4924	0x2B7FA
0x4925	0x30F7A
0x4928	0x30F78
0x4929	0x2CB48
0x492A	0x2CB46
0x492C	0x30F88
0x492D	0x2EE0C
0x4935	0x30F90
0x4938	0x30FA6
0x493B	0x30F96
0x493C	0x2CB63
0x4944	0x2B800
0x4947	0x4982
0x4951	0x9FCF
0x4953	0x2EE1E
0x4955	0x2CB6F
0x4956	0x30FBB
0x4957	0x2B50B
0x495B	0x2CB74
0x495D	0x30FC1
0x495E	0x2CB7B
0x4969	0x28C56
0x496F	0x2B506
0x4971	0x497E
0x4974	0x30FC5
0x4976	0x30F5D
0x4977	0x30FC7
0x4978	0x289EE
0x498C	0x2E92C
0x498E	0x30FE8
0x4996	0x2EE25
0x4998	0x28E04
0x499B	0x49B6
0x499D	0x2CBA8
0x499F	0x49B7
0x49A3	0x2EE26
0x49AA	0x30FF4
0x49AF	0x2B535
0x49B1	0x30FEB
0x49B3	0x28DFF
0x49DE	0x2CBBA
0x49E2	0x28E1F
0x4A34	0x31052
0x4A64	0x2EE2E
0x4A6B	0x2CC25
0x4A8A	0x2B585
0x4A8D	0x3107D
0x4A8F	0x293FC
0x4A90	0x31085
0x4A93	0x2CC33
0x4A97	0x29400
0x4A98	0x293FF
0x4A9C	0x2CC37
0x4A9D	0x3108C
0x4AA5	0x3108E
0x4AB4	0x2B5AB
0x4ABC	0x310A2
0x4ABE	0x2B5AC
0x4AC0	0x2B5B1
0x4AC2	0x2B5B0
0x4AC8	0x2CC63
0x4AC9	0x2C948
0x4ACC	0x310AE
0x4ACF	0x2CC66
0x4AD0	0x2C0F2
0x4ADC	0x2CC6E
0x4ADF	0x2B5B2
0x4AE0	0x2CC70
0x4AE5	0x3119A
0x4AE9	0x2CC6C
0x4AF4	0x29597
0x4AF6	0x2B5BA
0x4AFB	0x2B5C7
0x4AFC	0x2CC77
0x4AFE	0x2B808
0x4B00	0x310D6
0x4B02	0x2CC78
0x4B05	0x310DA
0x4B0D	0x2CC80
0x4B0E	0x2CC7F
0x4B10	0x310DC
0x4B13	0x2B5CA
0x4B14	0x310DE
0x4B18	0x2966E
0x4B1D	0x2966F
0x4B1E	0x29667
0x4B1F	0x310D9
0x4B23	0x310F1
0x4B27	0x2B5DF
0x4B2A	0x310F3
0x4B2B	0x2CCAE
0x4B2C	0x310F5
0x4B2F	0x2CCAB
0x4B32	0x2CCAF
0x4B33	0x310F7
0x4B36	0x2CCB7
0x4B39	0x310F8
0x4B3E	0x2CCBB
0x4B40	0x29807
0x4B43	0x29808
0x4B45	0x2CCBE
0x4B47	0x2CCC0
0x4B48	0x31103
0x4B49	0x2CCC5
0x4B51	0x2B5F1
0x4B52	0x2CCCB
0x4B53	0x310F9
0x4B54	0x2B5F0
0x4B55	0x2CC95
0x4B58	0x2CCD1
0x4B5E	0x2CCB3
0x4B61	0x31109
0x4B62	0x2CCB2
0x4B63	0x2CCB6
0x4B6D	0x2CC6F
0x4B7F	0x299ED
0x4B82	0x31144
0x4B84	0x2B80A
0x4B88	0x2CCFE
0x4B97	0x2CD01
0x4B9D	0x299F0
0x4B9E	0x29A01
0x4BA0	0x299FF
0x4BA7	0x31160
0x4BAB	0x29A07
0x4BB0	0x2B62E
0x4BB2	0x31166
0x4BB3	0x29A0F
0x4BB8	0x2CCF8
0x4BBD	0x2CD0D
0x4BBE	0x299EA
0x4BBF	0x2CD0F
0x4BC0	0x4BC5
0x4BE4	0x29A48
0x4C0E	0x31183
0x4C10	0x31185
0x4C16	0x31188
0x4C2B	0x31199
0x4C32	0x311CD
0x4C37	0x2CD86
0x4C3B	0x311D5
0x4C3D	0x311D1
0x4C3E	0x9C83
0x4C40	0x2B690
0x4C41	0x2B68F
0x4C42	0x311E4
0x4C45	0x311DA
0x4C47	0x311DE
0x4C4C	0x311EC
0x4C4D	0x2CD8A
0x4C4E	0x311E5
0x4C50	0x311F2
0x4C52	0x311F0
0x4C53	0x2CD93
0x4C57	0x2EB1E
0x4C59	0x29F88
0x4C5A	0x2EB20
0x4C5B	0x2EB1F
0x4C5C	0x311F7
0x4C5F	0x31200
0x4C61	0x311FD
0x4C64	0x311FB
0x4C65	0x311F9
0x4C67	0x2B6A0
0x4C6C	0x29F8A
0x4C6D	0x31207
0x4C70	0x29F8B
0x4C71	0x2CDA4
0x4C74	0x31208
0x4C75	0x2EB22
0x4C77	0x4CA3
0x4C78	0x2B811
0x4C79	0x2CDA3
0x4C7B	0x2EB21
0x4C7D	0x4C9D
0x4C7E	0x31206
0x4C81	0x9CDA
0x4C85	0x2B69C
0x4C89	0x31212
0x4C8F	0x2CD97
0x4C95	0x2CDB4
0x4C96	0x29F82
0x4C97	0x2EB23
0x4C98	0x9CE4
0x4C99	0x2CD8E
0x4C9A	0x31216
0x4C9B	0x3121B
0x4CA8	0x2CDFE
0x4CB0	0x2A242
0x4CB8	0x2EB61
0x4CB9	0x31256
0x4CBC	0x2CE06
0x4CC5	0x31259
0x4CC7	0x3125E
0x4CCD	0x2EB65
0x4CCF	0x31264
0x4CD2	0x31267
0x4CD3	0x31266
0x4CD5	0x3127A
0x4CDA	0x31276
0x4CDC	0x2B6EC
0x4CDF	0x31282
0x4CE2	0x2B6F0
0x4CE4	0x2B6EE
0x4CE5	0x2EE57
0x4CE7	0x2B6FA
0x4CE8	0x2CE1B
0x4CEB	0x2B6FC
0x4CED	0x3127C
0x4CEE	0x31293
0x4CF2	0x31299
0x4CFA	0x312A3
0x4CFD	0x2EE59
0x4D07	0x312AA
0x4D08	0x2CE29
0x4D09	0x9E6E
0x4D0B	0x2B705
0x4D0F	0x2EE5C
0x4D1A	0x2EB70
0x4D1D	0x312BC
0x4D2C	0x2A388
0x4D2D	0x2CE45
0x4D2E	0x312C6
0x4D31	0x2B712
0x4D32	0x312CA
0x4D33	0x312CE
0x4D34	0x2A38B
0x4D35	0x312D4
0x4D37	0x2CE49
0x4D38	0x312D7
0x4D39	0x312D9
0x4D3A	0x312DD
0x4D3D	0x2B714
0x4D42	0x312EA
0x4D43	0x312EB
0x4D46	0x312EE
0x4D50	0x312F4
0x4D58	0x2C4F8
0x4D73	0x2A445
0x4D74	0x2B719
0x4D76	0x31301
0x4D77	0x31303
0x4D95	0x2B728
0x4D97	0x2EBD9
0x4DA2	0x2CE8D
0x4DA3	0x2CE83
0x4DA6	0x2CE89
0x4DA7	0x31330
0x4DA8	0x31335
0x4DAA	0x2CE95
0x4DB1	0x31347
0x4DB2	0x2B733
0x4E07	0x4E07
0x4E11	0x4E11
0x4E1F	0x4E22
0x4E22	0x4E22
0x4E24	0x4E24
0x4E26	0x5E76
0x4E2A	0x4E2A
0x4E30	0x4E30
0x4E48	0x4E48
0x4E49	0x4E49
0x4E50	0x4E50
0x4E54	0x4E54
0x4E71	0x4E71
0x4E7E	0x4E7E
0x4E82	0x4E71
0x4E86	0x4E86
0x4E89	0x4E89
0x4E8E	0x4E8E
0x4E8F	0x4E8F
0x4E91	0x4E91
0x4E9E	0x4E9A
0x4EC5	0x4EC5
0x4EC6	0x4EC6
0x4ECE	0x4ECE
0x4EEA	0x4EEA
0x4EF7	0x4EF7
0x4F17	0x4F17
0x4F18	0x4F18
0x4F19	0x4F19
0x4F1A	0x4F1A
0x4F24	0x4F24
0x4F47	0x4F2B
0x4F53	0x4F53
0x4F59	0x4F59
0x4F63	0x4F63
0x4F75	0x5E76
0x4F86	0x6765
0x4F96	0x4ED1
0x4FA0	0x4FA0
0x4FA9	0x4FA9
0x4FB6	0x4FA3
0x4FC1	0x4FE3
0x4FC2	0x7CFB
0x4FD3	0x201F9
0x4FD4	0x4F23
0x4FE0	0x4FA0
0x4FE5	0x4F21
0x4FE6	0x4FE6
0x5000	0x4F25
0x5006	0x4FE9
0x5008	0x4FEB
0x5009	0x4ED3
0x500B	0x4E2A
0x5011	0x4EEC
0x501F	0x501F
0x502B	0x4F26
0x5032	0x3448
0x5049	0x4F1F
0x5051	0x343D
0x5069	0x3007E
0x506C	0x506C
0x5074	0x4FA7
0x5075	0x4FA6
0x507B	0x507B
0x507D	0x4F2A
0x508C	0x3437
0x5091	0x6770
0x5096	0x4F27
0x5098	0x4F1E
0x5099	0x5907
0x50A2	0x5BB6
0x50AA	0x2B8BA
0x50AD	0x4F63
0x50AF	0x506C
0x50B1	0x30067
0x50B3	0x4F20
0x50B4	0x4F1B
0x50B5	0x503A
0x50B7	0x4F24
0x50BE	0x503E
0x50C0	0x30097
0x50C2	0x507B
0x50C5	0x4EC5
0x50C6	0x2B8AA
0x50C9	0x4F65
0x50CD	0x2B899
0x50D1	0x4FA8
0x50D3	0x3009C
0x50D5	0x4EC6
0x50D7	0x2B8AC
0x50DE	0x4F2A
0x50E4	0x2B8B8
0x50E5	0x4FA5
0x50E8	0x507E
0x50E9	0x3008E
0x50F4	0x3008B
0x50F9	0x4EF7
0x50FE	0x2B8CA
0x5100	0x4EEA
0x5101	0x347A
0x5102	0x4FAC
0x5104	0x4EBF
0x5105	0x30078
0x5108	0x4FA9
0x5109	0x4FED
0x5110	0x50A7
0x5114	0x4FE6
0x5115	0x4FAA
0x5116	0x2B8C9
0x5118	0x5C3D
0x511F	0x507F
0x5122	0x300A6
0x5123	0x201B2
0x5125	0x3008F
0x5129	0x300AD
0x512A	0x4F18
0x512E	0x2EBF8
0x5130	0x2B8AD
